id;upload_date;antibiotic;organism;intrinsic_resistance;expert_rule;break_point
1;2023-03-14T11:57:03;Buckinghamshire;Utah array;indexing;Tunisia help-desk Market;Quetzal
2;2023-03-15T00:53:34;haptic;Multi-tiered up;Shirt quantifying multi-byte;web-readiness;Metal deposit Corporate
3;2023-03-15T07:56:03;reboot B2C;innovate Senior Harbor;users;parse Refined driver;whiteboard program Tasty
4;2023-03-14T13:02:15;Automotive;bypassing;disintermediate value-added;Regional partnerships auxiliary;Cotton reboot initiatives
5;2023-03-14T13:40:39;Virginia array Investment;leverage;Implementation;Incredible Fresh;Borders Wooden deposit
6;2023-03-14T22:55:35;Bike override Streamlined;Quality Account;North Baby;Plastic back;transparent Unbranded
7;2023-03-14T13:38:14;Accounts;deposit;Pants Iowa mobile;Loan deliverables;Cross-group revolutionary
8;2023-03-14T19:28:37;Estates;Creative cross-platform Optimized;encompassing Wooden Garden;Saint B2B;Gateway Shoes
9;2023-03-14T13:56:27;Somoni Rubber;intermediate Buckinghamshire;deposit;Internal Fantastic Causeway;strategic engage
10;2023-03-14T14:18:45;Handmade Clothing;Borders Rubber multi-byte;Alaska Dynamic;Missouri;Small Handmade
