id;rule_code;description;organism_code;organism_code_type;rule_criteria;affected_antibiotics;antibiotic_exceptions;result
1;Future pixel Accounts;user asynchronous human-resource;Glen;up Expanded;Soft Stravenue Account;Qatari;Personal Ergonomic;quantifying
2;Rubber;Forward lime;Plain methodical task-force;Communications Producer interface;Identity;Research Frozen Shoes;Digitized Market;set human-resource
3;Fresh;card;user-facing teal Cross-platform;transmitter withdrawal COM;haptic;Metrics Coordinator User-friendly;JSON Ohio;Awesome ROI
4;paradigm deliver;implement;Clothing global Pants;Enhanced Rubber plum;Legacy;client-server Checking;collaborative transmit;vertical Clothing
5;alarm Savings;Tactics Polarised whiteboard;Drive United Colorado;compress Utah;Money Indiana whiteboard;Applications;California;parsing
6;Rustic Wells;Product;Ruble capacitor Soap;Shoes;blue;withdrawal;Dram;Account port Solutions
7;tan Gorgeous reintermediate;Loan Rwanda Cotton;auxiliary Central open-source;Wyoming stable;Soap Virtual Valley;Practical Associate;Agent;deposit Product Keyboard
8;Monaco disintermediate;Groves Configuration;Directives;Switchable vortals quantifying;well-modulated;Manat 1080p SAS;systemic target Baby;quantify
9;Parkways;Sleek Administrator Switchable;Account utilisation;reboot;Cambridgeshire;project District Berkshire;engage;benchmark Steel Fish
10;Tuna silver;digital Product Consultant;Rustic Steel;cyan;Car;Sausages;Sleek;deliver orange
